172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/ HTTP/1.1 200 2828 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="1.117" connect_time="0.003" header_time="1.117" response_time="1.117"
172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/css/main_front.css HTTP/1.1 200 132239 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.004" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/js/plugins.js HTTP/1.1 200 32510 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/js/main.js HTTP/1.1 200 564 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/img/en-flag.png HTTP/1.1 200 2488 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/img/fr-flag.png HTTP/1.1 200 1880 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/img/laravel-l-slant.png HTTP/1.1 200 7826 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:24 +0000] GET http://localhost/img/pt-BR-flag.png HTTP/1.1 200 4191 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:25 +0000] GET http://localhost/img/bg.jpg HTTP/1.1 200 949181 "http://localhost/css/main_front.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.004" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [05/Jan/2017:23:46:31 +0000] GET http://localhost/language/fr HTTP/1.1 302 324 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.907" connect_time="0.002" header_time="0.907" response_time="0.907"
172.21.0.1 - - [05/Jan/2017:23:46:32 +0000] GET http://localhost/ HTTP/1.1 200 2831 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.883" connect_time="0.003" header_time="0.883" response_time="0.883"
172.21.0.1 - - [05/Jan/2017:23:46:35 +0000] GET http://localhost/language/pt-BR HTTP/1.1 302 324 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.821" connect_time="0.002" header_time="0.821" response_time="0.821"
172.21.0.1 - - [05/Jan/2017:23:46:35 +0000] GET http://localhost/ HTTP/1.1 200 2839 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.813" connect_time="0.002" header_time="0.813" response_time="0.813"
172.21.0.1 - - [05/Jan/2017:23:46:39 +0000] GET http://localhost/language/en HTTP/1.1 302 324 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.814" connect_time="0.003" header_time="0.814" response_time="0.814"
172.21.0.1 - - [05/Jan/2017:23:46:40 +0000] GET http://localhost/ HTTP/1.1 200 2828 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.924" connect_time="0.003" header_time="0.924" response_time="0.924"
172.21.0.1 - - [05/Jan/2017:23:46:42 +0000] GET http://localhost/contact/create HTTP/1.1 200 2168 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.934" connect_time="0.002" header_time="0.934" response_time="0.934"
172.21.0.1 - - [05/Jan/2017:23:46:44 +0000] GET http://localhost/articles HTTP/1.1 500 32275 "http://localhost/contact/create" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.918" connect_time="0.002" header_time="0.918" response_time="0.918"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/ HTTP/1.1 200 2828 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.971" connect_time="0.003" header_time="0.971" response_time="0.971"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/css/main_front.css HTTP/1.1 200 132239 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/js/plugins.js HTTP/1.1 200 32510 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
172.21.0.1 - - [06/Jan/2017:05:20:24 +0000] GET http://localhost/js/main.js HTTP/1.1 200 564 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36" time="0.000" connect_time="-" header_time="-" response_time="-"
